,property_url,property_id,address,street_name,apartment,city,state,latitude,longitude,postcode,price,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,land_space_unit,broker_id,property_type,property_status,year_build,total_num_units,listing_age,RunDate,agency_name,agent_name,agent_phone,is_owned_by_zillow
count,600000,600000.0,600000,599869,14815,599999,599999,529122.0,529122.0,599970,600000.0,443845.0,471733.0,435365.0,447847.0,515119.0,515119,0.0,600000,600000,0.0,0.0,600000.0,600000,444524,0.0,0.0,600000.0
unique,600000,,598588,339224,2664,7977,25,,,10820,,,,,,,2,,7,2,,,,1,34372,,,
top,https://www.zillow.com/homedetails/3-Plat-83-10-Wrangell-AK-99929/2064212272_zpid/,,"(undisclosed Address), Rockport, TX 78382",(undisclosed Address),1,Chicago,TX,,,84043,,,,,,,acres,,SINGLE_FAMILY,FOR_SALE,,,,2022-04-24 07:34:15,Coldwell Banker Realty,,,
freq,1,,36,1713,312,14138,146636,,,1102,,,,,,,269149,,354366,383365,,,,600000,5936,,,
mean,,888504216.63854,,,,,,36.282378519214326,-105.81390602493899,,605187.0381473001,3.411963635953993,2.471116076254999,484.0447693314805,4298.387493943244,3099.4274027766173,,,,,,,-1.0,,,,,0.0004983333333333334
std,,972470819.2233557,,,,,,5.673354548985854,13.464633026100225,,3175555.1224882617,22.491599799087258,5.68497180419629,29855.268690818324,178020.05137940895,5350.082368547525,,,,,,,0.0,,,,,0.022317836529599663
min,,27.0,,,,,,18.985142,-165.40825,,0.0,0.0,0.0,0.0,0.0,-13068.0,,,,,,,-1.0,,,,,0.0
25%,,54021427.25,,,,,,32.612112499999995,-117.34607875,,170000.0,3.0,2.0,155.0,1360.0,1.01,,,,,,,-1.0,,,,,0.0
50%,,206608997.5,,,,,,35.403568,-101.8973775,,369900.0,3.0,2.0,220.0,1863.0,60.0,,,,,,,-1.0,,,,,0.0
75%,,2066866866.5,,,,,,39.66167375,-95.354245,,625000.0,4.0,3.0,331.0,2574.0,6534.0,,,,,,,-1.0,,,,,0.0
max,,2146997363.0,,,,,,71.29917,-87.52557,,2147483647.0,13210.0,1892.0,15900000.0,59913270.0,1746756.0,,,,,,,-1.0,,,,,1.0
